scenario,run,mean_growth_rate,crisis_likelihood,mean_unemployment,gdp_end
1,1,0.01026435631518896,0.0,0.04461100000000018,4207631.2106
1,2,0.010503734633469763,0.0,0.04382750000000013,4474005.665
1,3,0.010512037936492247,0.0,0.046834749999999925,4749297.3339
1,4,0.010909925494436035,0.010101010101010102,0.04764449999999998,4474558.2317
1,5,0.010458306441474718,0.0,0.04852599999999996,4400804.5404
1,6,0.010177616644752696,0.0,0.04686099999999993,4675143.2466
1,7,0.010065172991744697,0.0,0.05203575000000005,4297580.165899999
1,8,0.010268596372540184,0.0,0.046901249999999894,4631026.5669
1,9,0.01034283868239494,0.0,0.044612500000000055,4432247.0607
1,10,0.009770151881840272,0.0,0.043655250000000034,4455559.0354
1,11,0.011154864272823417,0.0,0.04586224999999988,4803801.0985
1,12,0.010833177099649705,0.0,0.046772499999999995,4760675.1563
1,13,0.009600490681755947,0.0,0.045825499999999963,4121333.3712
1,14,0.011148748663288632,0.0,0.04722724999999994,5062788.5257
1,15,0.009938303729895015,0.0,0.047808750000000066,4404540.127900001
1,16,0.010172507045730361,0.010101010101010102,0.044367500000000004,4333508.7888
1,17,0.011257997218879545,0.0,0.04743574999999989,4601960.4206
1,18,0.00958117786114876,0.0,0.051069250000000066,4110060.9259
1,19,0.011164059972495588,0.0,0.04990125000000001,4634823.1898
1,20,0.010527488790128325,0.0,0.04526125000000003,4657423.5015
1,21,0.010622035248454953,0.0,0.043840749999999984,4512233.9211
1,22,0.0099963636784961,0.0,0.046613000000000016,4370021.1074
1,23,0.010197963627547324,0.0,0.049776750000000036,4338569.0365
1,24,0.011002430944729413,0.0,0.04606799999999989,4481022.4577
1,25,0.009914886394708056,0.010101010101010102,0.04549100000000006,4224997.8146
1,26,0.010526650788941883,0.010101010101010102,0.04706575000000013,4435763.0788
1,27,0.009823853946166805,0.0,0.04663099999999987,4231801.8342
1,28,0.010465537616159093,0.0,0.0461157499999999,4480899.8311
1,29,0.011166067480340658,0.0,0.04739400000000005,4845313.6247
1,30,0.010352110187416885,0.0,0.04562124999999995,4196280.2941000005
1,31,0.010477265523434642,0.0,0.04590300000000003,4613525.0815
1,32,0.010655288361925086,0.010101010101010102,0.044489250000000036,4609751.7401
1,33,0.010205846831037535,0.0,0.047261499999999845,4303221.4612
1,34,0.010137543585865272,0.0,0.047005000000000075,4380252.0306
1,35,0.010281647960911577,0.0,0.04868075000000005,4473145.6612
1,36,0.010999724448251369,0.0,0.04783225000000002,4565283.9339
1,37,0.010530185890722299,0.0,0.048940749999999866,4702770.8004
1,38,0.009680256576798829,0.0,0.045306999999999986,4325195.6155
1,39,0.010587937223391686,0.010101010101010102,0.05028975000000002,4467082.4838
1,40,0.010867296222784928,0.0,0.04790649999999996,4741739.2436999995
1,41,0.009666205738485534,0.0,0.050154249999999956,4377446.7879
1,42,0.01070251317294546,0.0,0.04840074999999999,4616880.8054
1,43,0.009526018293371186,0.0,0.049005999999999994,4400993.052
1,44,0.010527626405994805,0.0,0.050614499999999896,4293253.7853999995
1,45,0.00994319381415587,0.0,0.04990525000000001,4292144.3946
1,46,0.010454485761884014,0.0,0.04486524999999997,4693343.0398
1,47,0.010018164786297357,0.0,0.04977874999999998,4241172.2445
1,48,0.011024743280512839,0.0,0.042402750000000156,4499823.3758000005
1,49,0.009632245541942863,0.0,0.04664349999999995,4318411.028
1,50,0.009629466688277022,0.0,0.047782249999999915,4067511.2912000003
2,1,0.01013447679507884,0.010101010101010102,0.03775227604900011,4419169.849863358
2,2,0.010217968659032906,0.0,0.038971751775999874,4326240.772749974
2,3,0.010889671318106364,0.010101010101010102,0.03997586512100004,4740049.279700835
2,4,0.010121162142762818,0.0,0.03880109617674998,4034780.9729439323
2,5,0.010039806307209131,0.0,0.036468291981500034,4519411.2464347975
2,6,0.010490040006555956,0.0,0.040699927843750205,4286903.081720902
2,7,0.009862771734654663,0.010101010101010102,0.04050969464249987,4175673.0056172474
2,8,0.010534537870207972,0.020202020202020204,0.038940164625499984,4536633.467028582
2,9,0.010056832609233401,0.0,0.039523098749249974,4397698.464433539
2,10,0.010891661167784061,0.0,0.03799300241750003,4313750.177876076
2,11,0.010428697759919281,0.0,0.03677070223775003,4438760.866468122
2,12,0.009783956770610613,0.0,0.03649429576800001,4266820.950831587
2,13,0.010011811268831883,0.010101010101010102,0.04343661642374996,4209845.795251371
2,14,0.010551728887290057,0.0,0.038550225704999885,4438819.908843631
2,15,0.008626154398357455,0.010101010101010102,0.03865568626424987,3879873.623553604
2,16,0.009937858194119409,0.0,0.03854016546450001,4198216.892924994
2,17,0.009856266999002106,0.0,0.04208667297375002,4009416.2135521797
2,18,0.009876937200754998,0.0,0.04050791043099988,4325392.683319862
2,19,0.010082809249684077,0.010101010101010102,0.038509538459750026,4288968.632680458
2,20,0.010802164189316565,0.0,0.04036970888024993,4510016.234840076
2,21,0.010350030950287747,0.010101010101010102,0.04045171306100004,4139176.602115926
2,22,0.009429260759755698,0.0,0.03933528334199987,4122114.7147625713
2,23,0.009717491161664649,0.010101010101010102,0.04291093417025005,4042166.1038411492
2,24,0.009921029400430159,0.0,0.039077754819749955,4011903.560625689
2,25,0.010161235594631446,0.020202020202020204,0.03558814067650007,4320830.35370373
2,26,0.009515478718879589,0.010101010101010102,0.039876207547250186,4060071.7394278347
2,27,0.010467332894373627,0.010101010101010102,0.04263492524524992,4442891.013423819
2,28,0.010926503960135392,0.0,0.03769679851474994,4461568.823237154
2,29,0.010435981876102618,0.010101010101010102,0.03804388594675001,4836580.70322225
2,30,0.009065274474608032,0.010101010101010102,0.03907621133650008,3919609.766469768
2,31,0.010265154446593705,0.020202020202020204,0.04171139380299993,4419049.098321264
2,32,0.010141639995271179,0.0,0.03890033167074991,4255551.301031033
2,33,0.009472530875562768,0.010101010101010102,0.043597992448499934,3992748.944167044
2,34,0.010329774756600685,0.010101010101010102,0.037450973154249945,4439317.2389961425
2,35,0.009726801988999334,0.0,0.041368477136250026,4035164.321821411
2,36,0.009924901020084587,0.0,0.04133385830074998,4355193.757261116
2,37,0.009845854173707869,0.020202020202020204,0.035787514031,4315559.181731745
2,38,0.009698497846700294,0.020202020202020204,0.03688604907725013,3984959.2075204705
2,39,0.009995644046846497,0.010101010101010102,0.03792904653425,4531288.056573536
2,40,0.010497256300245006,0.020202020202020204,0.04030089149524996,4246362.236349944
2,41,0.01001239198823134,0.0,0.03750856276250003,4184841.70844563
2,42,0.01009063108259678,0.0,0.03637396149950012,4391904.95612983
2,43,0.009616027573015717,0.0,0.040656991086250094,4363893.236363003
2,44,0.01050347331604029,0.010101010101010102,0.037461691522250096,4736872.208451398
2,45,0.010278591835704232,0.0,0.03840036863899998,4591808.104283565
2,46,0.010855587223872254,0.0,0.03856709726250007,4430023.590121467
2,47,0.009942574645341429,0.0,0.03811128271575004,4140512.9072296782
2,48,0.010155972305712302,0.0,0.037475540415749964,4312601.3481940515
2,49,0.01004266561460132,0.0,0.04224552393024994,4358772.801027809
2,50,0.009923462745821565,0.010101010101010102,0.036676594807500185,4599404.700088345
3,1,0.009088837877560874,0.0,0.048718169484249896,3881916.526451361
3,2,0.010611147533171383,0.0,0.04566398115574999,4502161.824341504
3,3,0.010735382518930914,0.0,0.04811860200200002,4385282.959313395
3,4,0.010386940112745657,0.0,0.048275974314499925,4327027.557179961
3,5,0.010497515947576197,0.0,0.04716271054150001,4542188.75433509
3,6,0.010596090015210002,0.0,0.05051204184750002,4395955.475264115
3,7,0.01077211145418655,0.0,0.046111900705500086,4638196.301076696
3,8,0.009412558346339805,0.0,0.04683962851150003,3984606.1558888108
3,9,0.010784779681455303,0.0,0.04592281795350006,4461171.4619977735
